auction_number,accepted_amount_2nd_round,maturity_date,amount_to_central_bank,quantity_accepted_2nd_round,quantity_accepted,rate,auction_type,auction_date,accepted_amount,benchmark,quantity_tendered,bond_type,quantity_to_central_bank,settlement_date,total_amount_accepted,bond
518,524136834.62,2017-10-01,0.0,599999.0,3000000,12.9888,Venda,2016-08-18,2619418435.39,LTN 12 meses,3000000,LTN,0,2016-08-19,3143555270.01,LTN 2017-10
525,18541042.54,2017-04-01,0.0,20000.0,2000000,13.6687,Venda,2016-08-25,1853161308.5,LTN 06 meses,2000000,LTN,0,2016-08-26,1871702351.04,LTN 2017-04
526,0.0,2023-01-01,0.0,0.0,1000000,12.0497,Venda,2016-08-25,932425917.68,NTN-F 07 anos,1000000,NTN-F,0,2016-08-26,932425917.68,NTN-F 2023-01
525,0.0,2020-07-01,2973660510.2,0.0,3500000,12.1149,Venda,2016-08-25,2262567778.85,LTN 48 meses,3500000,LTN,4600000,2016-08-26,2262567778.85,LTN 2020-07
526,0.0,2027-01-01,2980151192.7,0.0,500000,12.045,Venda,2016-08-25,451538059.34,NTN-F 10 anos,500000,NTN-F,3300000,2016-08-26,451538059.34,NTN-F 2027-01
525,11775007.48,2018-10-01,0.0,15000.0,2000000,12.3807,Venda,2016-08-25,1569273123.36,LTN 24 meses,2000000,LTN,0,2016-08-26,1581048130.84,LTN 2018-10
530,0.0,2026-08-15,0.0,0.0,134800,5.94,Venda,2016-08-30,398007517.75,NTN-B 10 anos,2000000,NTN-B,0,2016-08-31,398007517.75,NTN-B 2026-08
530,0.0,2035-05-15,0.0,0.0,82850,5.8488,Venda,2016-08-30,251491100.31,NTN-B 20 anos,150000,NTN-B,0,2016-08-31,251491100.31,NTN-B 2035-05
530,0.0,2055-05-15,0.0,0.0,67150,5.82,Venda,2016-08-30,206010939.32,NTN-B 40 anos,150000,NTN-B,0,2016-08-31,206010939.32,NTN-B 2055-05
530,551422836.29,2021-05-15,0.0,186512.0,1546550,6.23,Venda,2016-08-30,4572375973.45,NTN-B 05 anos,2000000,NTN-B,0,2016-08-31,5123798809.74,NTN-B 2021-05
531,351402641.36,2017-10-01,0.0,399998.0,2000000,12.9039,Venda,2016-09-01,1756176084.47,LTN 12 meses,2000000,LTN,0,2016-09-02,2107578725.83,LTN 2017-10
531,473496334.61,2018-10-01,0.0,599999.0,3000000,12.2149,Venda,2016-09-01,2366402570.48,LTN 24 meses,3000000,LTN,0,2016-09-02,2839898905.09,LTN 2018-10
531,649871937.47,2020-07-01,0.0,999996.0,5000000,12.0399,Venda,2016-09-01,3247900724.24,LTN 48 meses,5000000,LTN,0,2016-09-02,3897772661.71,LTN 2020-07
532,191364283.02,2022-09-01,12102471734.16242,23718.0,702350,0.06,Venda,2016-09-01,5666780302.0,LFT 6 anos,1000000,LFT,1500000,2016-09-02,5858144585.02,LFT 2022-09
538,0.0,2020-07-01,3922598244.0,0.0,3500000,11.8998,Venda,2016-09-08,2288182309.09,LTN 48 meses,3500000,LTN,6000000,2016-09-09,2288182309.09,LTN 2020-07
539,0.0,2027-01-01,5461000998.0,0.0,1000000,11.98,Venda,2016-09-08,910166833.19,NTN-F 10 anos,1000000,NTN-F,6000000,2016-09-09,910166833.19,NTN-F 2027-01
539,0.0,2023-01-01,0.0,0.0,1000000,11.9199,Venda,2016-09-08,940808561.37,NTN-F 07 anos,1000000,NTN-F,0,2016-09-09,940808561.37,NTN-F 2023-01
538,0.0,2017-04-01,0.0,0.0,2000000,13.553,Venda,2016-09-08,1862709330.39,LTN 06 meses,2000000,LTN,0,2016-09-09,1862709330.39,LTN 2017-04
538,0.0,2018-10-01,2377915581.0,0.0,1500000,12.049,Venda,2016-09-08,1188957790.05,LTN 24 meses,1500000,LTN,3000000,2016-09-09,1188957790.05,LTN 2018-10
549,0.0,2026-08-15,0.0,0.0,221350,5.9608,Venda,2016-09-13,655257241.11,NTN-B 10 anos,1000000,NTN-B,0,2016-09-14,655257241.11,NTN-B 2026-08
550,0.0,2055-05-15,0.0,0.0,0,0.0,Compra,2016-09-13,0.0,NTN-B 40 anos,150000,NTN-B,0,2016-09-14,0.0,NTN-B 2055-05
550,0.0,2040-08-15,0.0,0.0,0,0.0,Compra,2016-09-13,0.0,,150000,NTN-B,0,2016-09-14,0.0,NTN-B 2040-08
549,0.0,2035-05-15,0.0,0.0,118200,5.938,Venda,2016-09-13,356834376.9,NTN-B 20 anos,150000,NTN-B,0,2016-09-14,356834376.9,NTN-B 2035-05
549,0.0,2021-05-15,0.0,0.0,778650,6.21,Venda,2016-09-13,2313511223.23,NTN-B 05 anos,1000000,NTN-B,0,2016-09-14,2313511223.23,NTN-B 2021-05
555,647365624.49,2020-07-01,0.0,999996.0,5000000,12.2789,Venda,2016-09-15,3235351645.89,LTN 48 meses,5000000,LTN,0,2016-09-16,3882717270.38,LTN 2020-07
555,705760662.77,2017-10-01,0.0,799998.0,4000000,12.9249,Venda,2016-09-15,3527109783.87,LTN 12 meses,4000000,LTN,0,2016-09-16,4232870446.64,LTN 2017-10
555,474744069.59,2018-10-01,0.0,599996.0,3000000,12.302,Venda,2016-09-15,2372641850.87,LTN 24 meses,3000000,LTN,0,2016-09-16,2847385920.46,LTN 2018-10
556,96458871.55,2022-09-01,4864290043.76,11898.0,1000000,0.062,Venda,2016-09-15,8107153891.53,LFT 6 anos,1000000,LFT,600000,2016-09-16,8203612763.08,LFT 2022-09
569,0.0,2027-01-01,0.0,0.0,0,0.0,Compra,2016-09-22,0.0,NTN-F 10 anos,150000,NTN-F,0,2016-09-23,0.0,NTN-F 2027-01
567,424140936.74,2017-04-01,0.0,452500.0,4000000,13.369,Venda,2016-09-22,3747445544.0,LTN 06 meses,4000000,LTN,0,2016-09-23,4171586480.74,LTN 2017-04
567,354042890.95,2018-10-01,0.0,442499.0,2500000,11.7999,Venda,2016-09-22,1999360556.64,LTN 24 meses,2500000,LTN,0,2016-09-23,2353403447.59,LTN 2018-10
567,568628593.86,2020-07-01,0.0,861108.0,5000000,11.7489,Venda,2016-09-22,3300268357.52,LTN 48 meses,5000000,LTN,0,2016-09-23,3868896951.38,LTN 2020-07
569,0.0,2025-01-01,0.0,0.0,0,0.0,Compra,2016-09-22,0.0,,150000,NTN-F,0,2016-09-23,0.0,NTN-F 2025-01
568,90230929.7,2023-01-01,0.0,95000.0,500000,11.815,Venda,2016-09-22,474688575.23,NTN-F 07 anos,500000,NTN-F,0,2016-09-23,564919504.9300001,NTN-F 2023-01
573,114685658.96,2021-05-15,0.0,38237.0,1129300,6.05,Venda,2016-09-27,3387151572.2,NTN-B 05 anos,2000000,NTN-B,0,2016-09-28,3501837231.16,NTN-B 2021-05
573,82905.44,2035-05-15,0.0,27.0,31550,5.8099,Venda,2016-09-27,96876557.51,NTN-B 20 anos,150000,NTN-B,0,2016-09-28,96959462.95,NTN-B 2035-05
573,0.0,2055-05-15,0.0,0.0,118450,5.759,Venda,2016-09-27,369350837.6,NTN-B 40 anos,150000,NTN-B,0,2016-09-28,369350837.6,NTN-B 2055-05
573,23864131.72,2026-08-15,0.0,7983.0,671850,5.87,Venda,2016-09-27,2008407477.96,NTN-B 10 anos,2000000,NTN-B,0,2016-09-28,2032271609.68,NTN-B 2026-08
575,0.0,2018-10-01,0.0,0.0,4000000,11.7297,Venda,2016-09-29,3209972490.3,LTN 24 meses,4000000,LTN,0,2016-09-30,3209972490.3,LTN 2018-10
575,0.0,2017-10-01,0.0,0.0,4000000,12.4624,Venda,2016-09-29,3558648800.79,LTN 12 meses,4000000,LTN,0,2016-09-30,3558648800.79,LTN 2017-10
575,0.0,2020-07-01,2462486197.0,0.0,4000000,11.565,Venda,2016-09-29,2662147238.02,LTN 48 meses,4000000,LTN,3700000,2016-09-30,2662147238.02,LTN 2020-07
576,120476673.12,2022-09-01,3259209336.98,14786.0,573700,0.062,Venda,2016-09-29,4674522132.51,LFT 6 anos,1000000,LFT,400000,2016-09-30,4794998805.63,LFT 2022-09
600,753965527.06,2017-04-01,0.0,799998.0,4000000,13.257,Venda,2016-10-06,3767975184.77,LTN 06 meses,4000000,LTN,0,2016-10-07,4521940711.83,LTN 2017-04
600,469141533.72,2020-07-01,10048740390.0,699998.0,3500000,11.4339,Venda,2016-10-06,2344706092.28,LTN 48 meses,3500000,LTN,15000000,2016-10-07,2813847626.0,LTN 2020-07
600,241976793.47,2018-10-01,0.0,299998.0,1500000,11.5929,Venda,2016-10-06,1209365388.03,LTN 24 meses,1500000,LTN,0,2016-10-07,1451342181.5,LTN 2018-10
601,188873435.37,2027-01-01,10100515016.2,199997.0,1000000,11.5049,Venda,2016-10-06,943973366.41,NTN-F 10 anos,1000000,NTN-F,10700000,2016-10-07,1132846801.78,NTN-F 2027-01
601,290614282.81,2023-01-01,0.0,299993.0,1500000,11.44,Venda,2016-10-06,1452478629.93,NTN-F 07 anos,1500000,NTN-F,0,2016-10-07,1743092912.74,NTN-F 2023-01
608,639642414.72,2026-08-15,15053597581.7493,212455.0,1076950,5.8,Venda,2016-10-11,3242394382.74,NTN-B 10 anos,2500000,NTN-B,5000000,2016-10-13,3882036797.46,NTN-B 2026-08
608,35036717.94,2055-05-15,0.0,11050.0,55500,5.66,Venda,2016-10-11,175976275.78,NTN-B 40 anos,150000,NTN-B,0,2016-10-13,211012993.72,NTN-B 2055-05
608,32137310.41,2035-05-15,0.0,10322.0,38400,5.7,Venda,2016-10-11,119557519.97,NTN-B 20 anos,150000,NTN-B,0,2016-10-13,151694830.38,NTN-B 2035-05
608,858327359.77,2021-05-15,0.0,284602.0,1423050,5.962,Venda,2016-10-11,4291757434.65,NTN-B 05 anos,2500000,NTN-B,0,2016-10-13,5150084794.42,NTN-B 2021-05
613,671955095.14,2020-07-01,0.0,999996.0,4050000,11.405,Venda,2016-10-13,2720254606.3,LTN 48 meses,5000000,LTN,0,2016-10-14,3392209701.44,LTN 2020-07
613,404140358.11,2018-10-01,0.0,499997.0,2500000,11.5739,Venda,2016-10-13,2019836381.14,LTN 24 meses,2500000,LTN,0,2016-10-14,2423976739.25,LTN 2018-10
614,240422676.46,2022-09-01,16700567286.279032,29368.0,1000000,0.062,Venda,2016-10-13,8186549430.8,LFT 6 anos,1000000,LFT,2040000,2016-10-14,8426972107.26,LFT 2022-09
613,447416827.65,2017-10-01,0.0,499999.0,2500000,12.3249,Venda,2016-10-13,2236057408.15,LTN 12 meses,2500000,LTN,0,2016-10-14,2683474235.8,LTN 2017-10
630,0.0,2023-01-01,0.0,0.0,1000000,11.1399,Venda,2016-10-20,984288945.11,NTN-F 07 anos,1000000,NTN-F,0,2016-10-21,984288945.11,NTN-F 2023-01
630,0.0,2027-01-01,0.0,0.0,1000000,11.1099,Venda,2016-10-20,968158181.0,NTN-F 10 anos,1000000,NTN-F,0,2016-10-21,968158181.0,NTN-F 2027-01
629,0.0,2017-04-01,0.0,0.0,4500000,13.314,Venda,2016-10-20,4256905669.39,LTN 06 meses,4500000,LTN,0,2016-10-21,4256905669.39,LTN 2017-04
629,0.0,2018-10-01,0.0,0.0,2000000,11.6036,Venda,2016-10-20,1618464197.72,LTN 24 meses,2000000,LTN,0,2016-10-21,1618464197.72,LTN 2018-10
629,0.0,2020-07-01,0.0,0.0,4000000,11.2639,Venda,2016-10-20,2705018065.06,LTN 48 meses,4000000,LTN,0,2016-10-21,2705018065.06,LTN 2020-07
640,0.0,2055-05-15,0.0,0.0,39500,5.56,Venda,2016-10-25,127509068.46,NTN-B 40 anos,150000,NTN-B,0,2016-10-26,127509068.46,NTN-B 2055-05
640,5986362.66,2026-08-15,0.0,1978.0,374300,5.77,Venda,2016-10-25,1132808669.41,NTN-B 10 anos,2500000,NTN-B,0,2016-10-26,1138795032.0700002,NTN-B 2026-08
640,0.0,2035-05-15,0.0,0.0,25000,5.6,Venda,2016-10-25,78916633.2,NTN-B 20 anos,150000,NTN-B,0,2016-10-26,78916633.2,NTN-B 2035-05
640,4466388.0,2021-05-15,0.0,1474.0,1059900,5.92,Venda,2016-10-25,3211617809.51,NTN-B 05 anos,2500000,NTN-B,0,2016-10-26,3216084197.51,NTN-B 2021-05
656,375848892.31,2022-09-01,0.0,45670.0,1500000,0.0613,Venda,2016-10-27,12344496928.11,LFT 6 anos,1500000,LFT,0,2016-10-28,12720345820.42,LFT 2022-09
655,68378183.16,2018-10-01,0.0,84424.0,3500000,11.704,Venda,2016-10-27,2833536559.05,LTN 24 meses,3500000,LTN,0,2016-10-28,2901914742.21,LTN 2018-10
655,386914804.5,2017-10-01,0.0,431283.0,3500000,12.573,Venda,2016-10-27,3138460875.05,LTN 12 meses,3500000,LTN,0,2016-10-28,3525375679.55,LTN 2017-10
655,0.0,2020-07-01,0.0,0.0,4500000,11.358,Venda,2016-10-27,3040700487.31,LTN 48 meses,4500000,LTN,0,2016-10-28,3040700487.31,LTN 2020-07
665,538347460.23,2020-07-01,0.0,799857.0,4000000,11.543,Venda,2016-11-03,2691049849.17,LTN 48 meses,4000000,LTN,0,2016-11-04,3229397309.4,LTN 2020-07
665,486176574.4,2018-10-01,0.0,599766.0,3000000,11.7618,Venda,2016-11-03,2430756655.23,LTN 24 meses,3000000,LTN,0,2016-11-04,2916933229.63,LTN 2018-10
666,94262863.19,2027-01-01,0.0,99539.0,380000,11.588,Venda,2016-11-03,359700294.63,NTN-F 10 anos,500000,NTN-F,0,2016-11-04,453963157.82,NTN-F 2027-01
665,31108476.78,2017-04-01,0.0,32727.0,3000000,13.356,Venda,2016-11-03,2850215646.1,LTN 06 meses,3000000,LTN,0,2016-11-04,2881324122.88,LTN 2017-04
666,96795078.5,2023-01-01,0.0,99537.0,500000,11.5447,Venda,2016-11-03,486015543.05,NTN-F 07 anos,500000,NTN-F,0,2016-11-04,582810621.55,NTN-F 2023-01
675,738856440.64,2021-05-15,0.0,243824.0,1311200,6.0099,Venda,2016-11-08,3973310933.68,NTN-B 05 anos,2500000,NTN-B,0,2016-11-09,4712167374.32,NTN-B 2021-05
675,448861574.36,2026-08-15,0.0,149180.0,1188800,5.9,Venda,2016-11-08,3576931490.01,NTN-B 10 anos,2500000,NTN-B,0,2016-11-09,4025793064.37,NTN-B 2026-08
675,29116643.07,2055-05-15,0.0,9121.0,30650,5.657,Venda,2016-11-08,97842902.22,NTN-B 40 anos,150000,NTN-B,0,2016-11-09,126959545.29,NTN-B 2055-05
675,9705331.48,2035-05-15,0.0,3114.0,48100,5.75,Venda,2016-11-08,149912153.2,NTN-B 20 anos,150000,NTN-B,0,2016-11-09,159617484.67999998,NTN-B 2035-05
684,0.0,2020-07-01,0.0,0.0,0,0.0,Venda,2016-11-10,0.0,LTN 48 meses,1000000,LTN,0,2016-11-11,0.0,LTN 2020-07
684,0.0,2018-10-01,0.0,0.0,0,0.0,Venda,2016-11-10,0.0,LTN 24 meses,1000000,LTN,0,2016-11-11,0.0,LTN 2018-10
685,217843319.95,2022-09-01,0.0,26348.0,850050,0.0618,Venda,2016-11-10,7028151452.97,LFT 6 anos,1000000,LFT,0,2016-11-11,7245994772.92,LFT 2022-09
684,0.0,2017-10-01,0.0,0.0,0,0.0,Venda,2016-11-10,0.0,LTN 12 meses,1000000,LTN,0,2016-11-11,0.0,LTN 2017-10
697,0.0,2027-01-01,0.0,0.0,16000,12.09,Compra,2016-11-16,14774233.12,NTN-F 10 anos,1000000,NTN-F,0,2016-11-17,14774233.12,NTN-F 2027-01
697,0.0,2023-01-01,0.0,0.0,359300,12.2129,Compra,2016-11-16,340997906.94,NTN-F 07 anos,1000000,NTN-F,0,2016-11-17,340997906.94,NTN-F 2023-01
697,0.0,2025-01-01,0.0,0.0,40000,12.1,Compra,2016-11-16,37456818.64,,1000000,NTN-F,0,2016-11-17,37456818.64,NTN-F 2025-01
700,0.0,2021-01-01,0.0,0.0,403500,12.1,Compra,2016-11-17,393382958.95,,1000000,NTN-F,0,2016-11-18,393382958.95,NTN-F 2021-01
700,0.0,2027-01-01,0.0,0.0,0,0.0,Compra,2016-11-17,0.0,NTN-F 10 anos,1000000,NTN-F,0,2016-11-18,0.0,NTN-F 2027-01
700,0.0,2023-01-01,0.0,0.0,100000,12.12,Compra,2016-11-17,95305672.3,NTN-F 07 anos,1000000,NTN-F,0,2016-11-18,95305672.3,NTN-F 2023-01
705,0.0,2027-01-01,0.0,0.0,150000,12.0549,Compra,2016-11-18,138899850.15,NTN-F 10 anos,1000000,NTN-F,0,2016-11-21,138899850.15,NTN-F 2027-01
705,0.0,2021-01-01,0.0,0.0,10000,12.06,Compra,2016-11-18,9765241.79,,1000000,NTN-F,0,2016-11-21,9765241.79,NTN-F 2021-01
705,0.0,2023-01-01,0.0,0.0,0,0.0,Compra,2016-11-18,0.0,NTN-F 07 anos,1000000,NTN-F,0,2016-11-21,0.0,NTN-F 2023-01
712,30680007.36,2026-08-15,0.0,10334.0,199100,6.14,Venda,2016-11-22,591096329.5,NTN-B 10 anos,300000,NTN-B,0,2016-11-23,621776336.86,NTN-B 2026-08
712,0.0,2021-05-15,0.0,0.0,100900,6.27,Venda,2016-11-22,295108167.55,NTN-B 05 anos,300000,NTN-B,0,2016-11-23,295108167.55,NTN-B 2021-05
712,268395.77,2055-05-15,0.0,90.0,8300,5.95,Venda,2016-11-22,24752054.45,NTN-B 40 anos,50000,NTN-B,0,2016-11-23,25020450.22,NTN-B 2055-05
712,0.0,2035-05-15,0.0,0.0,41700,6.019,Venda,2016-11-22,123116015.64,NTN-B 20 anos,50000,NTN-B,0,2016-11-23,123116015.64,NTN-B 2035-05
724,0.0,2018-10-01,0.0,0.0,1000000,11.789,Venda,2016-11-24,814966623.4,LTN 24 meses,1000000,LTN,0,2016-11-25,814966623.4,LTN 2018-10
724,0.0,2017-10-01,0.0,0.0,2000000,12.4045,Venda,2016-11-24,1811047785.0,LTN 12 meses,2000000,LTN,0,2016-11-25,1811047785.0,LTN 2017-10
725,143256428.85,2022-09-01,0.0,17246.0,679150,0.0619,Venda,2016-11-24,5641457319.22,LFT 6 anos,1000000,LFT,0,2016-11-25,5784713748.070001,LFT 2022-09
724,0.0,2020-07-01,0.0,0.0,1000000,11.874,Venda,2016-11-24,669649283.9,LTN 48 meses,1000000,LTN,0,2016-11-25,669649283.9,LTN 2020-07
743,0.0,2023-01-01,0.0,0.0,300000,12.0299,Venda,2016-12-01,288243880.5,NTN-F 07 anos,300000,NTN-F,0,2016-12-02,288243880.5,NTN-F 2023-01
742,0.0,2020-07-01,0.0,0.0,2000000,11.945,Venda,2016-12-01,1339116124.82,LTN 48 meses,2000000,LTN,0,2016-12-02,1339116124.82,LTN 2020-07
742,0.0,2018-10-01,0.0,0.0,2500000,11.803,Venda,2016-12-01,2041463286.46,LTN 24 meses,2500000,LTN,0,2016-12-02,2041463286.46,LTN 2018-10
742,0.0,2017-04-01,0.0,0.0,5000000,13.274,Venda,2016-12-01,4796585705.13,LTN 06 meses,5000000,LTN,0,2016-12-02,4796585705.13,LTN 2017-04
743,0.0,2027-01-01,0.0,0.0,300000,12.0149,Venda,2016-12-01,279654495.53,NTN-F 10 anos,300000,NTN-F,0,2016-12-02,279654495.53,NTN-F 2027-01
762,578760.74,2035-05-15,0.0,200.0,16450,6.24,Venda,2016-12-06,47603071.58,NTN-B 20 anos,50000,NTN-B,0,2016-12-07,48181832.32,NTN-B 2035-05
763,0.0,2055-05-15,0.0,0.0,0,0.0,Compra,2016-12-06,0.0,NTN-B 40 anos,150000,NTN-B,0,2016-12-07,0.0,NTN-B 2055-05
762,1649083.96,2026-08-15,0.0,558.0,32900,6.258,Venda,2016-12-06,97230936.36,NTN-B 10 anos,500000,NTN-B,0,2016-12-07,98880020.32,NTN-B 2026-08
762,1512583.72,2021-05-15,0.0,517.0,360050,6.36,Venda,2016-12-06,1053396071.74,NTN-B 05 anos,500000,NTN-B,0,2016-12-07,1054908655.46,NTN-B 2021-05
763,0.0,2045-05-15,0.0,0.0,0,0.0,Compra,2016-12-06,0.0,,150000,NTN-B,0,2016-12-07,0.0,NTN-B 2045-05
772,299156230.28,2022-09-01,25047967929.90777,35830.0,1059750,0.062,Venda,2016-12-08,8848195529.45,LFT 6 anos,1250000,LFT,3000000,2016-12-09,9147351759.73,LFT 2022-09
771,546654176.37,2017-10-01,0.0,599996.0,2320000,12.27,Venda,2016-12-08,2112772965.43,LTN 12 meses,3000000,LTN,0,2016-12-09,2659427141.8,LTN 2017-10
771,336785571.38,2020-07-01,0.0,499662.0,2500000,11.8198,Venda,2016-12-08,1684318710.37,LTN 48 meses,2500000,LTN,0,2016-12-09,2021104281.75,LTN 2020-07
771,410478623.36,2018-10-01,0.0,499664.0,2500000,11.5865,Venda,2016-12-08,2052879948.3,LTN 24 meses,2500000,LTN,0,2016-12-09,2463358571.66,LTN 2018-10
795,329498064.41,2018-10-01,10296776812.5,399828.0,2000000,11.5284,Venda,2016-12-15,1647484290.5,LTN 24 meses,2000000,LTN,12500000,2016-12-16,1976982354.91,LTN 2018-10
797,0.0,2027-01-01,0.0,0.0,0,0.0,Compra,2016-12-15,0.0,NTN-F 10 anos,300000,NTN-F,0,2016-12-16,0.0,NTN-F 2027-01
795,134452345.56,2020-07-01,10432966641.0,199663.0,1000000,11.9217,Venda,2016-12-15,673094622.32,LTN 48 meses,1000000,LTN,15500000,2016-12-16,807546967.8800001,LTN 2020-07
795,132854788.8,2017-04-01,7716990656.0,137660.0,2000000,13.055,Venda,2016-12-15,1929247663.56,LTN 06 meses,2000000,LTN,8000000,2016-12-16,2062102452.36,LTN 2017-04
796,192003578.61,2023-01-01,0.0,199662.0,1000000,12.14,Venda,2016-12-15,961202894.15,NTN-F 07 anos,1000000,NTN-F,0,2016-12-16,1153206472.76,NTN-F 2023-01
797,0.0,2025-01-01,0.0,0.0,0,0.0,Compra,2016-12-15,0.0,,300000,NTN-F,0,2016-12-16,0.0,NTN-F 2025-01
11,621208.11,2027-01-01,0.0,670.0,2000000,11.4,Venda,2017-01-05,1853558024.28,NTN-F 10 anos,2000000,NTN-F,0,2017-01-06,1854179232.39,NTN-F 2027-01
10,254624118.72,2019-04-01,0.0,320000.0,2500000,10.95,Venda,2017-01-05,1988432064.83,LTN 24 meses,2500000,LTN,0,2017-01-06,2243056183.55,LTN 2019-04
11,249768833.61,2023-01-01,0.0,264000.0,1500000,11.449,Venda,2017-01-05,1418529308.09,NTN-F 07 anos,1500000,NTN-F,0,2017-01-06,1668298141.6999998,NTN-F 2023-01
10,415520962.45,2020-07-01,0.0,599998.0,3000000,11.244,Venda,2017-01-05,2076733360.11,LTN 48 meses,3000000,LTN,0,2017-01-06,2492254322.56,LTN 2020-07
10,126686580.24,2017-10-01,0.0,137332.0,1000000,11.759,Venda,2017-01-05,922076958.2,LTN 06 meses,1000000,LTN,0,2017-01-06,1048763538.44,LTN 2017-10
22,138870679.58,2026-08-15,0.0,45415.0,260150,5.88,Venda,2017-01-10,795490637.5,NTN-B 10 anos,1500000,NTN-B,0,2017-01-11,934361317.08,NTN-B 2026-08
22,340247431.4,2022-08-15,0.0,112058.0,1018700,5.97,Venda,2017-01-10,3093130864.53,NTN-B 05 anos,1500000,NTN-B,0,2017-01-11,3433378295.9300003,NTN-B 2022-08
22,11767514.75,2035-05-15,0.0,3828.0,41550,5.75,Venda,2017-01-10,127727335.41,NTN-B 20 anos,150000,NTN-B,0,2017-01-11,139494850.16,NTN-B 2035-05
22,52853606.82,2055-05-15,0.0,16987.0,108450,5.74,Venda,2017-01-10,337432958.46,NTN-B 40 anos,150000,NTN-B,0,2017-01-11,390286565.28,NTN-B 2055-05
25,0.0,2018-04-01,0.0,0.0,1000000,10.7447,Venda,2017-01-12,885278279.3,LTN 12 meses,1000000,LTN,0,2017-01-13,885278279.3,LTN 2018-04
26,66232867.03,2023-03-01,0.0,7835.0,1000000,0.0647,Venda,2017-01-12,8453458573.62,LFT 6 anos,1000000,LFT,0,2017-01-13,8519691440.65,LFT 2023-03
25,200608459.9,2020-07-01,0.0,285000.0,5000000,10.78,Venda,2017-01-12,3518011257.39,LTN 48 meses,5000000,LTN,0,2017-01-13,3718619717.29,LTN 2020-07
25,0.0,2019-04-01,0.0,0.0,3000000,10.518,Venda,2017-01-12,2411274812.6,LTN 24 meses,3000000,LTN,0,2017-01-13,2411274812.6,LTN 2019-04
35,706907394.33,2020-07-01,0.0,999996.0,5000000,10.704,Venda,2017-01-19,3533123021.09,LTN 48 meses,5000000,LTN,0,2017-01-20,4240030415.42,LTN 2020-07
36,380675479.59,2027-01-01,0.0,399997.0,2000000,11.0049,Venda,2017-01-19,1902600464.11,NTN-F 10 anos,2000000,NTN-F,0,2017-01-20,2283275943.7,NTN-F 2027-01
36,291305520.44,2023-01-01,0.0,299998.0,1500000,10.91,Venda,2017-01-19,1455933641.67,NTN-F 07 anos,1500000,NTN-F,0,2017-01-20,1747239162.11,NTN-F 2023-01
35,185788843.72,2017-10-01,0.0,200000.0,1000000,11.334,Venda,2017-01-19,928548527.0,LTN 06 meses,1000000,LTN,0,2017-01-20,1114337370.72,LTN 2017-10
35,644843296.16,2019-04-01,0.0,799997.0,4000000,10.489,Venda,2017-01-19,3222948542.69,LTN 24 meses,4000000,LTN,0,2017-01-20,3867791838.85,LTN 2019-04
43,65054305.6,2055-05-15,0.0,20238.0,115000,5.55,Venda,2017-01-24,369663264.76,NTN-B 40 anos,300000,NTN-B,0,2017-01-25,434717570.36,NTN-B 2055-05
43,347843070.86,2026-08-15,0.0,111822.0,605900,5.69,Venda,2017-01-24,1884764328.06,NTN-B 10 anos,1500000,NTN-B,0,2017-01-25,2232607398.92,NTN-B 2026-08
43,97889515.69,2035-05-15,0.0,31138.0,185000,5.58,Venda,2017-01-24,581590353.2,NTN-B 20 anos,300000,NTN-B,0,2017-01-25,679479868.8900001,NTN-B 2035-05
43,548075944.75,2022-08-15,0.0,178087.0,894100,5.7589,Venda,2017-01-24,2751659033.2,NTN-B 05 anos,1500000,NTN-B,0,2017-01-25,3299734977.95,NTN-B 2022-08
53,403788904.32,2019-04-01,0.0,499998.0,2500000,10.4914,Venda,2017-01-26,2018151052.93,LTN 24 meses,2500000,LTN,0,2017-01-27,2421939957.25,LTN 2019-04
54,0.0,2023-03-01,0.0,0.0,1000000,0.064,Venda,2017-01-26,8494547652.18,LFT 6 anos,1000000,LFT,0,2017-01-27,8494547652.18,LFT 2023-03
53,78272182.72,2018-04-01,0.0,88000.0,1000000,10.719,Venda,2017-01-26,889096769.85,LTN 12 meses,1000000,LTN,0,2017-01-27,967368952.57,LTN 2018-04
53,780014786.15,2020-07-01,0.0,1099997.0,5500000,10.674,Venda,2017-01-26,3898511378.89,LTN 48 meses,5500000,LTN,0,2017-01-27,4678526165.04,LTN 2020-07
69,427588589.51,2020-07-01,0.0,599999.0,3000000,10.572,Venda,2017-02-02,2137092476.86,LTN 48 meses,3000000,LTN,0,2017-02-03,2564681066.37,LTN 2020-07
70,196524014.14,2023-01-01,0.0,199996.0,872550,10.7197,Venda,2017-02-02,857053117.25,NTN-F 07 anos,1000000,NTN-F,0,2017-02-03,1053577131.39,NTN-F 2023-01
69,649083166.36,2019-04-01,0.0,800000.0,4000000,10.348,Venda,2017-02-02,3244147936.0,LTN 24 meses,4000000,LTN,0,2017-02-03,3893231102.36,LTN 2019-04
69,186434762.55,2017-10-01,0.0,199732.0,1000000,11.2399,Venda,2017-02-02,933029852.24,LTN 06 meses,1000000,LTN,0,2017-02-03,1119464614.79,LTN 2017-10
70,194452270.71,2027-01-01,0.0,199999.0,1000000,10.6989,Venda,2017-02-02,971871756.53,NTN-F 10 anos,1000000,NTN-F,0,2017-02-03,1166324027.24,NTN-F 2027-01
77,136072678.29,2055-05-15,0.0,41127.0,206000,5.389,Venda,2017-02-07,681571029.98,NTN-B 40 anos,300000,NTN-B,0,2017-02-08,817643708.27,NTN-B 2055-05
